00:00:95	Sony Tektronix Corp.
30:57:14	Apple, Inc.
30:58:EB	zte corporation
30:5A:3A	ASUSTek COMPUTER INC.
30:61:A2	Huawei Technologies Co.,Ltd
30:63:6B	Apple, Inc.
30:66:D0	Huawei Device Co., Ltd.
30:6A:85	Samsung Electronics Co.,Ltd
30:6D:F9	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:74:67	Samsung Electronics Co.,Ltd
30:74:96	Huawei Technologies Co.,Ltd
30:75:12	Sony Corporation
30:76:6F	LG Electronics (Mobile Communications)
30:7A:05	Huawei Technologies Co.,Ltd
30:7A:D2	Apple, Inc.
30:7C:4A	Huawei Device Co., Ltd.
30:7F:10	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:82:16	Apple, Inc.
30:83:D2	Motorola Mobility LLC, a Lenovo Company
30:84:54	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:85:A9	ASUSTek COMPUTER INC.
30:87:30	Huawei Technologies Co.,Ltd
30:89:A6	Huawei Technologies Co.,Ltd
30:8A:F7	Huawei Device Co., Ltd.
30:8D:D4	Huawei Technologies Co.,Ltd
30:8E:CF	Huawei Technologies Co.,Ltd
30:90:48	Apple, Inc.
30:90:AB	Apple, Inc.
30:94:35	vivo Mobile Communication Co., Ltd.
30:96:10	Huawei Device Co., Ltd.
30:96:3B	Huawei Device Co., Ltd.
30:96:FB	Samsung Electronics Co.,Ltd
30:99:35	zte corporation
30:9E:62	Huawei Technologies Co.,Ltd
30:A1:FA	Huawei Technologies Co.,Ltd
30:A2:C2	Huawei Device Co., Ltd.
30:A3:0F	Huawei Technologies Co.,Ltd
30:A8:DB	Sony Corporation
30:A9:98	Huawei Device Co., Ltd.
30:A9:DE	LG Innotek
30:AA:E4	Huawei Device Co., Ltd.
30:AF:CE	vivo Mobile Communication Co., Ltd.
30:B4:B8	LG Electronics
30:B9:30	zte corporation
30:BB:7D	OnePlus Technology (Shenzhen) Co., Ltd
30:C0:AE	Apple, Inc.
30:C5:0F	Huawei Technologies Co.,Ltd
30:C5:99	ASUSTek COMPUTER INC.
30:C6:AB	zte corporation
30:C7:AE	Samsung Electronics Co.,Ltd
30:C9:CC	Samsung Electronics Co.,Ltd
30:CB:F8	Samsung Electronics Co.,Ltd
30:CC:21	zte corporation
30:CD:A7	Samsung Electronics Co.,Ltd
30:D1:7E	Huawei Technologies Co.,Ltd
30:D3:86	zte corporation
30:D4:E2	Huawei Technologies Co.,Ltd
30:D5:3E	Apple, Inc.
30:D5:87	Samsung Electronics Co.,Ltd
30:D6:C9	Samsung Electronics Co.,Ltd
30:D7:A1	Apple, Inc.
30:D8:75	Apple, Inc.
30:D9:D9	Apple, Inc.
30:DC:E7	zte corporation
30:E0:44	Google, Inc.
30:E0:4F	Apple, Inc.
30:E3:96	Huawei Device Co., Ltd.
30:E4:D8	Huawei Device Co., Ltd.
30:E7:BC	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
30:E9:8E	Huawei Technologies Co.,Ltd
30:EB:15	Huawei Device Co., Ltd.
30:F3:1D	zte corporation
30:F3:35	Huawei Technologies Co.,Ltd
30:F7:C5	Apple, Inc.
30:F9:ED	Sony Corporation
30:FB:B8	Huawei Technologies Co.,Ltd
30:FC:EB	LG Electronics (Mobile Communications)
30:FD:38	Google, Inc.
30:FD:65	Huawei Technologies Co.,Ltd
30:FE:31	Nokia
30:FE:6C	Apple, Inc.
30:FF:FD	Huawei Technologies Co.,Ltd
34:00:A3	Huawei Technologies Co.,Ltd
34:05:57	vivo Mobile Communication Co., Ltd.
34:08:BC	Apple, Inc.
34:0A:98	Huawei Technologies Co.,Ltd
34:0E:22	Apple, Inc.
34:10:BE	Apple, Inc.
34:12:98	Apple, Inc.
34:12:F9	Huawei Technologies Co.,Ltd
34:14:5F	Samsung Electronics Co.,Ltd
34:15:9E	Apple, Inc.
34:1C:F0	Xiaomi Communications Co Ltd
34:1E:6B	Huawei Technologies Co.,Ltd
34:24:3E	zte corporation
34:28:40	Apple, Inc.
34:29:12	Huawei Technologies Co.,Ltd
34:2B:6E	Apple, Inc.
34:2D:0D	Samsung Electronics Co.,Ltd
34:2E:B6	Huawei Technologies Co.,Ltd
34:31:11	Samsung Electronics Co.,Ltd
34:31:8F	Apple, Inc.
34:36:3B	Apple, Inc.
34:36:54	zte corporation
34:37:59	zte corporation
34:39:16	Google, Inc.
34:42:62	Apple, Inc.
34:46:EC	Huawei Device Co., Ltd.
34:47:9A	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
34:4A:1B	zte corporation
34:4B:50	zte corporation
34:4D:EA	zte corporation
34:4D:F7	LG Electronics (Mobile Communications)
34:51:80	TCL King Electrical Appliances (Huizhou) Co., Ltd
34:51:84	Huawei Device Co., Ltd.
34:51:C9	Apple, Inc.
34:58:40	Huawei Technologies Co.,Ltd
34:5A:06	SHARP Corporation
34:66:79	Huawei Technologies Co.,Ltd
34:66:91	Apple, Inc.
34:69:87	zte corporation
34:6A:C2	Huawei Technologies Co.,Ltd
34:6B:D3	Huawei Technologies Co.,Ltd
34:6E:68	Huawei Technologies Co.,Ltd
34:71:46	Huawei Device Co., Ltd.
34:78:39	zte corporation
34:78:D7	Gionee Communication Equipment Co.,Ltd.
34:79:16	Huawei Technologies Co.,Ltd
34:7C:25	Apple, Inc.
34:7E:00	Huawei Device Co., Ltd.
34:7E:39	Nokia Danmark A/S
34:80:B3	Xiaomi Communications Co Ltd
34:82:C5	Samsung Electronics Co.,Ltd
34:83:D5	Huawei Technologies Co.,Ltd
34:86:DA	Honor Device Co., Ltd.
34:8A:7B	Samsung Electronics Co.,Ltd
34:8B:75	Lava International(H.K) Limited
34:8C:5E	Apple, Inc.
34:96:71	Huawei Technologies Co.,Ltd
34:96:77	zte corporation
34:97:F6	ASUSTek COMPUTER INC.
34:A1:37	Huawei Technologies Co.,Ltd
34:A2:A2	Huawei Technologies Co.,Ltd
34:A3:95	Apple, Inc.
34:A8:EB	Apple, Inc.
34:AA:8B	Samsung Electronics Co.,Ltd
34:AA:99	Nokia
34:AB:37	Apple, Inc.
34:B1:EB	Apple, Inc.
34:B2:0A	Huawei Device Co., Ltd.
34:B3:54	Huawei Technologies Co.,Ltd
34:B9:8D	Xiaomi Communications Co Ltd
34:BB:1F	BlackBerry RTS
34:BB:26	Motorola Mobility LLC, a Lenovo Company
34:BE:00	Samsung Electronics Co.,Ltd
34:C0:59	Apple, Inc.
34:C3:AC	Samsung Electronics Co.,Ltd
34:C7:E9	Google, Inc.
34:C8:03	Nokia Corporation
34:CD:BE	Huawei Technologies Co.,Ltd
34:CE:00	XIAOMI Electronics,CO.,LTD
34:CE:69	Nokia Solutions and Networks GmbH & Co. KG
34:D6:93	Huawei Device Co., Ltd.
34:DA:A1	Apple, Inc.
34:DA:B7	zte corporation
34:DE:34	zte corporation
34:E0:CF	zte corporation
34:E2:FD	Apple, Inc.
34:E3:FB	Samsung Electronics Co.,Ltd
34:E6:E6	LG Innotek
34:E9:11	vivo Mobile Communication Co., Ltd.
34:EE:16	Apple, Inc.
34:F0:15	Beijing Xiaomi Mobile Software Co., Ltd
34:F0:43	Samsung Electronics Co.,Ltd
34:F5:D7	Huawei Device Co., Ltd.
34:F6:2D	SHARP Corporation
34:F6:8D	Apple, Inc.
34:FA:1C	Beijing Xiaomi Mobile Software Co., Ltd
34:FC:EF	LG Electronics (Mobile Communications)
34:FD:6A	Apple, Inc.
34:FE:77	Apple, Inc.
34:FF:F3	Huawei Technologies Co.,Ltd
38:01:95	Samsung Electronics Co.,Ltd
38:09:FB	Apple, Inc.
38:0A:94	Samsung Electronics Co.,Ltd
38:0B:40	Samsung Electronics Co.,Ltd
38:0F:4A	Apple, Inc.
38:0F:AD	Huawei Technologies Co.,Ltd
38:16:5A	zte corporation
38:16:D1	Samsung Electronics Co.,Ltd
38:18:4C	Sony Home Entertainment&Sound Products Inc
38:19:2F	Nokia Corporation
38:20:28	Huawei Technologies Co.,Ltd
38:22:F4	Huawei Device Co., Ltd.
38:25:6B	Microsoft Mobile Oy
38:26:56	TCL King Electrical Appliances(Huizhou)Co.,Ltd
38:28:35	zte corporation
38:29:5A	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:2C:4A	ASUSTek COMPUTER INC.
38:2D:D1	Samsung Electronics Co.,Ltd
38:2D:E8	Samsung Electronics Co.,Ltd
38:30:F9	LG Electronics (Mobile Communications)
38:37:8B	Huawei Technologies Co.,Ltd
38:38:4B	vivo Mobile Communication Co., Ltd.
38:39:6C	Huawei Device Co., Ltd.
38:39:CD	vivo Mobile Communication Co., Ltd.
38:3F:E8	Huawei Technologies Co.,Ltd
38:46:08	zte corporation
38:47:BC	Huawei Technologies Co.,Ltd
38:48:4C	Apple, Inc.
38:4A:80	Samsung Electronics Co.,Ltd
38:4C:4F	Huawei Technologies Co.,Ltd
38:4D:D2	Huawei Device Co., Ltd.
38:52:1A	Nokia
38:52:47	Huawei Device Co., Ltd.
38:53:9C	Apple, Inc.
38:54:9B	zte corporation
38:62:33	Apple, Inc.
38:65:04	Honor Device Co., Ltd.
38:65:B2	Apple, Inc.
38:66:F0	Apple, Inc.
38:68:A4	Samsung Electronics Co.,Ltd
38:6A:77	Samsung Electronics Co.,Ltd
38:6E:88	zte corporation
38:6E:A2	vivo Mobile Communication Co., Ltd.
38:6E:B2	Huawei Technologies Co.,Ltd
38:6F:6B	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:70:F2	Huawei Technologies Co.,Ltd
38:71:DE	Apple, Inc.
38:78:62	Sony Corporation
38:7F:8B	Apple, Inc.
38:80:DF	Motorola Mobility LLC, a Lenovo Company
38:86:F7	Google, Inc.
38:88:1E	Huawei Technologies Co.,Ltd
38:88:A4	Apple, Inc.
38:89:2C	Apple, Inc.
38:8A:06	Samsung Electronics Co.,Ltd
38:8A:BE	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:8B:59	Google, Inc.
38:8C:50	LG Electronics
38:8C:EF	Samsung Electronics Co.,Ltd
38:8F:30	Samsung Electronics Co.,Ltd
38:90:52	Huawei Technologies Co.,Ltd
38:90:AF	zte corporation
38:91:48	zte corporation
38:94:96	Samsung Electronics Co.,Ltd
38:98:E9	Huawei Device Co., Ltd.
38:9A:F6	Samsung Electronics Co.,Ltd
38:9C:B2	Apple, Inc.
38:9E:80	zte corporation
38:A0:67	Nokia Solutions and Networks GmbH & Co. KG
38:A4:4B	Huawei Device Co., Ltd.
38:A4:ED	Xiaomi Communications Co Ltd
38:AA:20	zte corporation
38:B3:F7	Huawei Device Co., Ltd.
38:B5:4D	Apple, Inc.
38:BC:01	Huawei Technologies Co.,Ltd
38:BC:1A	MEIZU Technology Co., Ltd.
38:C4:3A	Apple, Inc.
38:C6:BD	Xiaomi Communications Co Ltd
38:C9:86	Apple, Inc.
38:CA:DA	Apple, Inc.
38:D0:9C	Huawei Technologies Co.,Ltd
38:D4:0B	Samsung Electronics Co.,Ltd
38:D5:47	ASUSTek COMPUTER INC.
38:D8:2F	zte corporation
38:E1:3D	Apple, Inc.
38:E1:AA	zte corporation
38:E2:DD	zte corporation
38:E3:9F	Motorola Mobility LLC, a Lenovo Company
38:E5:63	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
38:E6:0A	Xiaomi Communications Co Ltd
38:E7:D8	HTC Corporation
38:EB:47	Huawei Technologies Co.,Ltd
38:EC:07	Motorola Mobility LLC, a Lenovo Company
38:EC:0D	Apple, Inc.
38:EC:E4	Samsung Electronics Co.,Ltd
38:F1:95	Huawei Technologies Co.,Ltd
38:F2:3E	Microsoft Mobile Oy
38:F6:CF	zte corporation
38:F7:F1	Huawei Device Co., Ltd.
38:F8:89	Huawei Technologies Co.,Ltd
38:F9:D3	Apple, Inc.
38:FB:14	Huawei Technologies Co.,Ltd
38:FC:34	Huawei Device Co., Ltd.
3A:72:C2	Huawei Technologies Co.,Ltd
3C:01:EF	Sony Corporation
3C:05:18	Samsung Electronics Co.,Ltd
3C:05:8E	Huawei Technologies Co.,Ltd
3C:06:30	Apple, Inc.
3C:07:54	Apple, Inc.
3C:07:71	Sony Corporation
3C:07:D7	Apple, Inc.
3C:0A:7A	Samsung Electronics Co.,Ltd
3C:13:5A	Xiaomi Communications Co Ltd
3C:13:BB	Huawei Technologies Co.,Ltd
3C:15:C2	Apple, Inc.
3C:15:FB	Huawei Technologies Co.,Ltd
3C:18:9F	Nokia Corporation
3C:19:5E	Samsung Electronics Co.,Ltd
3C:1A:65	Nokia
3C:1E:B5	Apple, Inc.
3C:20:F6	Samsung Electronics Co.,Ltd
3C:22:FB	Apple, Inc.
3C:24:0A	Huawei Device Co., Ltd.
3C:25:D7	Nokia Corporation
3C:28:6D	Google, Inc.
3C:2C:A6	Beijing Xiaomi Electronics Co.,Ltd
3C:2E:F9	Apple, Inc.
3C:2E:FF	Apple, Inc.
3C:30:6F	Huawei Technologies Co.,Ltd
3C:31:74	Google, Inc.
3C:31:8A	Samsung Electronics Co.,Ltd
3C:32:B9	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
3C:34:64	Apple, Inc.
3C:36:3D	Nokia Corporation
3C:36:6A	Huawei Technologies Co.,Ltd
3C:38:24	Xiaomi Communications Co Ltd
3C:38:F4	Sony Corporation
3C:39:C8	Apple, Inc.
3C:3B:77	Apple, Inc.
3C:47:11	Huawei Technologies Co.,Ltd
3C:4A:C9	Huawei Device Co., Ltd.
3C:4D:BE	Apple, Inc.
3C:50:02	Apple, Inc.
3C:54:47	Huawei Technologies Co.,Ltd
3C:57:6C	Samsung Electronics Co.,Ltd
3C:59:1E	TCL King Electrical Appliances (Huizhou) Co., Ltd
3C:59:C0	Huawei Technologies Co.,Ltd
3C:5A:37	Samsung Electronics Co.,Ltd
3C:5A:B4	Google, Inc.
3C:62:00	Samsung Electronics Co.,Ltd
3C:67:8C	Huawei Technologies Co.,Ltd
3C:6D:89	Apple, Inc.
3C:6F:9B	zte corporation
3C:76:25	zte corporation
3C:77:87	Huawei Device Co., Ltd.
3C:78:43	Huawei Technologies Co.,Ltd
3C:7C:3F	ASUSTek COMPUTER INC.
3C:7D:0A	Apple, Inc.
3C:86:9A	Huawei Technologies Co.,Ltd
3C:86:D1	vivo Mobile Communication Co., Ltd.
3C:8B:FE	Samsung Electronics Co.,Ltd
3C:8D:20	Google, Inc.
3C:90:E0	Huawei Technologies Co.,Ltd
3C:93:F4	Huawei Technologies Co.,Ltd
3C:9B:C6	Huawei Device Co., Ltd.
3C:9D:56	Huawei Technologies Co.,Ltd
3C:A1:0D	Samsung Electronics Co.,Ltd
3C:A1:61	Huawei Technologies Co.,Ltd
3C:A2:C3	vivo Mobile Communication Co., Ltd.
3C:A3:48	vivo Mobile Communication Co., Ltd.
3C:A3:7E	Huawei Technologies Co.,Ltd
3C:A5:81	vivo Mobile Communication Co., Ltd.
3C:A6:16	vivo Mobile Communication Co., Ltd.
3C:A6:F6	Apple, Inc.
3C:A7:AE	zte corporation
3C:A8:0A	vivo Mobile Communication Co., Ltd.
3C:A9:16	Huawei Device Co., Ltd.
3C:AB:8E	Apple, Inc.
3C:AF:B7	Xiaomi Communications Co Ltd
3C:B0:ED	Nothing Technology Limited
3C:B2:33	Huawei Device Co., Ltd.
3C:B6:B7	vivo Mobile Communication Co., Ltd.
3C:BB:FD	Samsung Electronics Co.,Ltd
3C:BC:D0	zte corporation
3C:BD:3E	Beijing Xiaomi Electronics Co., Ltd.
3C:BD:69	Nokia Shanghai Bell Co., Ltd.
3C:BD:D8	Lg Electronics Inc
3C:BF:60	Apple, Inc.
3C:C0:3E	Huawei Technologies Co.,Ltd
3C:C2:43	Nokia Corporation
3C:C5:C7	Huawei Technologies Co.,Ltd
3C:CD:36	Apple, Inc.
3C:CD:40	Apple, Inc.
3C:CD:57	Beijing Xiaomi Mobile Software Co., Ltd
3C:CD:5D	Huawei Technologies Co.,Ltd
3C:CD:93	Lg Electronics Inc
3C:D0:F8	Apple, Inc.
3C:DA:2A	zte corporation
3C:DC:BC	Samsung Electronics Co.,Ltd
3C:DD:57	Apple, Inc.
3C:DF:BD	Huawei Technologies Co.,Ltd
3C:E0:72	Apple, Inc.
3C:E8:24	Huawei Technologies Co.,Ltd
3C:F5:91	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
3C:F6:52	zte corporation
3C:F6:92	Huawei Device Co., Ltd.
3C:F7:2A	Nokia Corporation
3C:F7:A4	Samsung Electronics Co.,Ltd
3C:F8:08	Huawei Technologies Co.,Ltd
3C:F9:F0	zte corporation
3C:FA:43	Huawei Technologies Co.,Ltd
3C:FA:80	Huawei Technologies Co.,Ltd
3C:FB:02	Apple, Inc.
3C:FF:D8	Huawei Technologies Co.,Ltd
40:06:34	Huawei Device Co., Ltd.
40:08:77	Xiaomi Communications Co Ltd
40:0E:F3	zte corporation
40:11:C3	Samsung Electronics Co.,Ltd
40:14:AD	Huawei Device Co., Ltd.
40:16:3B	Samsung Electronics Co.,Ltd
40:16:7E	ASUSTek COMPUTER INC.
40:1C:D4	Huawei Device Co., Ltd.
40:24:D2	Huawei Device Co., Ltd.
40:26:19	Apple, Inc.
40:26:41	Huawei Technologies Co.,Ltd
40:2B:A1	Sony Corporation
40:2F:86	LG Innotek
40:30:04	Apple, Inc.
40:31:3C	XIAOMI Electronics,CO.,LTD
40:33:1A	Apple, Inc.
40:35:E6	Samsung Electronics Co.,Ltd
40:3B:7B	Huawei Device Co., Ltd.
40:3C:FC	Apple, Inc.
40:40:A7	Sony Corporation
40:41:0D	Huawei Technologies Co.,Ltd
40:44:CE	Huawei Technologies Co.,Ltd
40:44:FD	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
40:45:A0	vivo Mobile Communication Co., Ltd.
40:45:C4	Huawei Technologies Co.,Ltd
40:48:6E	Nokia Solutions and Networks GmbH & Co. KG
40:4D:7F	Apple, Inc.
40:4D:8E	Huawei Technologies Co.,Ltd
40:4E:36	HTC Corporation
40:4F:42	Huawei Technologies Co.,Ltd
40:54:93	zte corporation
40:55:82	Nokia
40:58:46	vivo Mobile Communication Co., Ltd.
40:5E:F6	Samsung Electronics Co.,Ltd
40:6C:8F	Apple, Inc.
40:6F:27	Huawei Technologies Co.,Ltd
40:6F:2A	BlackBerry RTS
40:70:F5	Apple, Inc.
40:76:A9	Huawei Device Co., Ltd.
40:78:6A	Motorola Mobility LLC, a Lenovo Company
40:79:11	Apple, Inc.
40:7A:80	Nokia Corporation
40:7C:7D	Nokia
40:7D:0F	Huawei Technologies Co.,Ltd
40:83:1D	Apple, Inc.
40:88:05	Motorola Mobility LLC, a Lenovo Company
40:8B:F6	Shenzhen TCL New Technology Co., Ltd
40:8C:1F	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
40:8E:DF	Huawei Device Co., Ltd.
40:92:1A	Apple, Inc.
40:98:AD	Apple, Inc.
40:9B:21	Nokia
40:9C:28	Apple, Inc.
40:A1:08	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
40:A4:4A	Google, Inc.
40:A5:3B	Nokia
40:A6:D9	Apple, Inc.
40:B0:76	ASUSTek COMPUTER INC.
40:B0:FA	LG Electronics (Mobile Communications)
40:B1:5C	Huawei Technologies Co.,Ltd
40:B3:95	Apple, Inc.
40:B3:FA	Apple, Inc.
40:B6:07	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
40:B6:E7	Huawei Device Co., Ltd.
40:B7:0E	Huawei Device Co., Ltd.
40:B8:37	Sony Corporation
40:BC:60	Apple, Inc.
40:C3:BC	Huawei Device Co., Ltd.
40:C7:11	Apple, Inc.
40:CB:A8	Huawei Technologies Co.,Ltd
40:CB:C0	Apple, Inc.
40:D1:60	Apple, Inc.
40:D3:2D	Apple, Inc.
40:D3:AE	Samsung Electronics Co.,Ltd
40:D4:F6	Honor Device Co., Ltd.
40:D5:21	LG Innotek
40:DA:5C	Apple, Inc.
40:DC:A5	Huawei Device Co., Ltd.
40:DE:24	Samsung Electronics Co.,Ltd
40:E1:E4	Nokia Solutions and Networks GmbH & Co. KG
40:E6:4B	Apple, Inc.
40:EB:21	Huawei Technologies Co.,Ltd
40:ED:CF	Apple, Inc.
40:EE:DD	Huawei Technologies Co.,Ltd
40:F9:46	Apple, Inc.
40:FA:FE	Motorola Mobility LLC, a Lenovo Company
44:00:10	Apple, Inc.
44:00:4D	Huawei Technologies Co.,Ltd
44:04:44	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
44:05:B8	Huawei Device Co., Ltd.
44:07:0B	Google, Inc.
44:09:C6	Huawei Technologies Co.,Ltd
44:09:DA	Apple, Inc.
44:13:D0	zte corporation
44:16:FA	Samsung Electronics Co.,Ltd
44:18:FD	Apple, Inc.
44:1B:88	Apple, Inc.
44:1C:7F	Motorola Mobility LLC, a Lenovo Company
44:22:7C	Huawei Technologies Co.,Ltd
44:23:7C	Beijing Xiaomi Mobile Software Co., Ltd
44:27:2E	Huawei Device Co., Ltd.
44:27:45	LG Innotek
44:2A:60	Apple, Inc.
44:30:3F	Huawei Technologies Co.,Ltd
44:32:62	zte corporation
44:35:83	Apple, Inc.
44:41:F0	zte corporation
44:46:87	Realme Chongqing MobileTelecommunications Corp Ltd
44:4A:37	Xiaomi Communications Co Ltd
44:4A:DB	Apple, Inc.
44:4C:0C	Apple, Inc.
44:4E:1A	Samsung Electronics Co.,Ltd
44:55:B1	Huawei Technologies Co.,Ltd
44:55:C4	Huawei Device Co., Ltd.
44:59:43	zte corporation
44:59:E3	Huawei Technologies Co.,Ltd
44:5C:E9	Samsung Electronics Co.,Ltd
44:66:FC	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
44:67:47	Huawei Technologies Co.,Ltd
44:6A:2E	Huawei Technologies Co.,Ltd
44:6D:6C	Samsung Electronics Co.,Ltd
44:6E:E5	Huawei Technologies Co.,Ltd
44:71:47	Beijing Xiaomi Electronics Co.,Ltd
44:74:6C	Sony Corporation
44:76:54	Huawei Technologies Co.,Ltd
44:78:3E	Samsung Electronics Co.,Ltd
44:80:EB	Motorola Mobility LLC, a Lenovo Company
44:82:E5	Huawei Technologies Co.,Ltd
44:8C:00	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
44:8F:17	Samsung Electronics Co., Ltd. ARTIK
44:90:46	Honor Device Co., Ltd.
44:90:BB	Apple, Inc.
44:9B:C1	Huawei Technologies Co.,Ltd
44:9E:8B	Apple, Inc.
44:9E:F9	vivo Mobile Communication Co., Ltd.
44:9F:46	Huawei Device Co., Ltd.
44:A0:38	Huawei Device Co., Ltd.
44:A1:0E	Apple, Inc.
44:A1:91	Huawei Technologies Co.,Ltd
44:A3:C7	zte corporation
44:A7:F4	Apple, Inc.
44:A8:FC	Apple, Inc.
44:AE:44	Huawei Device Co., Ltd.
44:AE:AB	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
44:B3:C5	Huawei Device Co., Ltd.
44:BB:3B	Google, Inc.
44:BE:0B	Huawei Technologies Co.,Ltd
44:C3:46	Huawei Technologies Co.,Ltd
44:C3:B6	Huawei Technologies Co.,Ltd
44:C5:32	Huawei Technologies Co.,Ltd
44:C6:3C	Samsung Electronics Co.,Ltd
44:C6:5D	Apple, Inc.
44:C7:FC	Huawei Device Co., Ltd.
44:CB:8B	LG Innotek
44:CB:AD	Xiaomi Communications Co Ltd
44:D4:E0	Sony Corporation
44:D7:91	Huawei Technologies Co.,Ltd
44:D8:84	Apple, Inc.
44:DA:30	Apple, Inc.
44:DF:65	Beijing Xiaomi Mobile Software Co., Ltd
44:E5:9B	Huawei Technologies Co.,Ltd
44:E6:6E	Apple, Inc.
44:E9:68	Huawei Technologies Co.,Ltd
44:EA:30	Samsung Electronics Co.,Ltd
44:F0:9E	Apple, Inc.
44:F2:1B	Apple, Inc.
44:F4:36	zte corporation
44:F4:59	Samsung Electronics Co.,Ltd
44:F7:70	Beijing Xiaomi Mobile Software Co., Ltd
44:FB:42	Apple, Inc.
44:FB:5A	zte corporation
44:FB:76	vivo Mobile Communication Co., Ltd.
44:FE:EF	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
44:FF:BA	zte corporation
48:00:31	Huawei Technologies Co.,Ltd
48:01:C5	OnePlus Technology (Shenzhen) Co., Ltd
48:02:34	Huawei Technologies Co.,Ltd
48:02:86	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
48:05:E2	Huawei Device Co., Ltd.
48:12:58	Huawei Technologies Co.,Ltd
48:12:8F	Huawei Technologies Co.,Ltd
48:13:7E	Samsung Electronics Co.,Ltd
48:25:F3	Huawei Device Co., Ltd.
48:26:2C	Apple, Inc.
48:27:C5	Huawei Technologies Co.,Ltd
48:27:EA	Samsung Electronics Co.,Ltd
48:28:2F	zte corporation
48:29:D6	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
48:2C:A0	Xiaomi Communications Co Ltd
48:2C:D0	Huawei Technologies Co.,Ltd
48:2F:D7	Huawei Technologies Co.,Ltd
48:31:DB	Huawei Device Co., Ltd.
48:35:2B	Apple, Inc.
48:35:43	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
48:35:84	Huawei Device Co., Ltd.
48:38:71	Huawei Device Co., Ltd.
48:3B:38	Apple, Inc.
48:3C:0C	Huawei Technologies Co.,Ltd
48:3F:E9	Huawei Technologies Co.,Ltd
48:41:7B	Nokia Solutions and Networks GmbH & Co. KG
48:43:5A	Huawei Technologies Co.,Ltd
48:43:7C	Apple, Inc.
48:44:F7	Samsung Electronics Co.,Ltd
48:46:FB	Huawei Technologies Co.,Ltd
48:47:4B	Huawei Device Co., Ltd.
48:49:82	Huawei Device Co., Ltd.
48:49:96	Huawei Device Co., Ltd.
48:49:C7	Samsung Electronics Co.,Ltd
48:4B:AA	Apple, Inc.
48:4C:29	Huawei Technologies Co.,Ltd
48:4C:86	Huawei Device Co., Ltd.
48:51:69	Samsung Electronics Co.,Ltd
48:57:02	Huawei Technologies Co.,Ltd
48:59:29	LG Electronics (Mobile Communications)
48:59:A4	zte corporation
48:5B:39	ASUSTek COMPUTER INC.
48:5F:DF	zte corporation
48:60:5F	LG Electronics (Mobile Communications)
48:60:BC	Apple, Inc.
48:61:EE	Samsung Electronics Co.,Ltd
48:62:76	Huawei Technologies Co.,Ltd
48:63:45	Huawei Device Co., Ltd.
48:70:6F	Huawei Technologies Co.,Ltd
48:74:12	OnePlus Technology (Shenzhen) Co., Ltd
48:74:6E	Apple, Inc.
48:77:BD	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
48:79:4D	Samsung Electronics Co.,Ltd
48:7B:6B	Huawei Technologies Co.,Ltd
48:83:B4	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
48:87:59	Xiaomi Communications Co Ltd
48:87:64	vivo Mobile Communication Co., Ltd.
48:87:B8	TCL King Electrical Appliances(Huizhou)Co.,Ltd
48:88:CA	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
48:8A:E8	vivo Mobile Communication Co., Ltd.
48:8C:63	Huawei Device Co., Ltd.
48:8E:EF	Huawei Technologies Co.,Ltd
48:90:2F	LG Electronics (Mobile Communications)
48:95:07	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
48:96:D9	zte corporation
48:9B:E0	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
48:9D:24	BlackBerry RTS
48:9D:D1	Samsung Electronics Co.,Ltd
48:A1:95	Apple, Inc.
48:A3:80	Gionee Communication Equipment Co.,Ltd.
48:A5:16	Huawei Device Co., Ltd.
48:A7:4E	zte corporation
48:A9:1C	Apple, Inc.
48:AD:08	Huawei Technologies Co.,Ltd
48:B2:5D	Huawei Technologies Co.,Ltd
48:B8:A3	Apple, Inc.
48:BC:E1	Samsung Electronics Co.,Ltd
48:BD:4A	Huawei Technologies Co.,Ltd
